STATEFP,COUNTYFP,TRACTCE,GEOID,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,data_as_of,data_loaded_at,multipolygon
6,75,17102,60750171022,G5030,75185,0,37.7628524,-122.4504727,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.4524 37.763669, -122.451042 37.763843, -122.4496 37.764027, -122.448274 37.764196, -122.448109 37.763367, -122.449433 37.7632, -122.449296 37.762519, -122.44912 37.761648, -122.45058 37.761561, -122.451958 37.761478, -122.452097 37.762167, -122.452233 37.762843, -122.4524 37.763669)))"
6,75,17101,60750171013,G5030,90677,0,37.7683128,-122.445746,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.44839 37.768865, -122.447568 37.768969, -122.446745 37.769074, -122.445922 37.769179, -122.445106 37.769284, -122.443461 37.769497, -122.44334 37.769533, -122.443079 37.769565, -122.442843 37.769605, -122.442765 37.769661, -122.442647 37.76969, -122.442506 37.769686, -122.442384 37.7696, -122.442411 37.769493, -122.443167 37.769037, -122.443356 37.768944, -122.443866 37.767536, -122.444732 37.767426, -122.445545 37.767323, -122.446369 37.76722, -122.447199 37.767111, -122.448013 37.767007, -122.44839 37.768865)))"
6,75,17101,60750171012,G5030,114440,0,37.7635098,-122.4466017,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.449433 37.7632, -122.448109 37.763367, -122.448274 37.764196, -122.448441 37.765036, -122.447635 37.765139, -122.447566 37.764801, -122.447305 37.764256, -122.446994 37.762722, -122.446748 37.763343, -122.446594 37.763607, -122.446505 37.763708, -122.446101 37.764142, -122.446074 37.764188, -122.445838 37.764577, -122.445963 37.765216, -122.445216 37.765313, -122.444927 37.765492, -122.444172 37.765959, -122.443538 37.765323, -122.444013 37.765025, -122.444045 37.764952, -122.443992 37.764808, -122.443997 37.764696, -122.444037 37.764598, -122.444072 37.764504, -122.444129 37.764427, -122.444203 37.764371, -122.444301 37.764307, -122.444412 37.763987, -122.444664 37.763327, -122.445692 37.762348, -122.445826 37.762264, -122.445931 37.762233, -122.446168 37.762219, -122.446247 37.762247, -122.446287 37.76231, -122.446392 37.762232, -122.446401 37.76207, -122.446384 37.761816, -122.446783 37.761781, -122.447235 37.761756, -122.44778 37.761726, -122.44912 37.761648, -122.449296 37.762519, -122.449433 37.7632)))"
6,75,17801,60750178011,G5030,107191,0,37.7826462,-122.4019288,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.404933 37.7815, -122.40325 37.782831, -122.402708 37.783259, -122.400468 37.78503, -122.399887 37.784559, -122.39946 37.784214, -122.39893 37.783785, -122.400374 37.782645, -122.40116 37.782024, -122.401929 37.781416, -122.402245 37.781167, -122.403387 37.780265, -122.403672 37.780497, -122.403921 37.780699, -122.404404 37.781077, -122.404933 37.7815)))"
6,75,16802,60750168021,G5030,88943,0,37.77405,-122.4225197,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.425888 37.774599, -122.424343 37.774799, -122.424246 37.774811, -122.424127 37.774826, -122.422598 37.775021, -122.421097 37.775219, -122.42096 37.775232, -122.420795 37.775249, -122.419789 37.775373, -122.419359 37.775432, -122.419334 37.77521, -122.419681 37.774871, -122.420177 37.774457, -122.420254 37.774359, -122.420714 37.774078, -122.421089 37.773775, -122.42132 37.773592, -122.421916 37.773123, -122.421989 37.773074, -122.422186 37.772909, -122.42262 37.772503, -122.423267 37.772058, -122.423402 37.771975, -122.423525 37.771898, -122.423632 37.771807, -122.423665 37.771781, -122.423686 37.772004, -122.423697 37.772098, -122.423868 37.772943, -122.423962 37.773409, -122.424057 37.773875, -122.424144 37.774342, -122.425794 37.774132, -122.425888 37.774599)))"
6,75,16801,60750168012,G5030,58794,0,37.7702868,-122.4300334,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.431904 37.770964, -122.430261 37.771174, -122.428614 37.771383, -122.42852 37.770918, -122.428426 37.770452, -122.428275 37.769701, -122.42822 37.769441, -122.428991 37.769394, -122.429128 37.769456, -122.429906 37.769408, -122.430247 37.769392, -122.431357 37.769321, -122.43157 37.769307, -122.431717 37.770035, -122.431811 37.770501, -122.431904 37.770964)))"
6,75,16801,60750168011,G5030,76971,0,37.7723659,-122.4306683,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.432351 37.773779, -122.430825 37.773973, -122.430629 37.773039, -122.42899 37.773248, -122.42889 37.772754, -122.428857 37.77259, -122.428802 37.772316, -122.428708 37.77185, -122.428614 37.771383, -122.430261 37.771174, -122.431904 37.770964, -122.431998 37.771431, -122.432092 37.771897, -122.43228 37.772829, -122.432467 37.773757, -122.432351 37.773779)))"
6,75,15801,60750158012,G5030,153333,0,37.7815537,-122.4395004,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.44281 37.782971, -122.441158 37.783164, -122.439549 37.783377, -122.439439 37.783385, -122.439303 37.783395, -122.438901 37.78345, -122.438528 37.783597, -122.438255 37.783715, -122.438011 37.783772, -122.437863 37.783791, -122.437831 37.783632, -122.437633 37.782663, -122.437446 37.781727, -122.43726 37.780802, -122.437072 37.779867, -122.437895 37.779765, -122.438686 37.779666, -122.438792 37.779653, -122.440397 37.779439, -122.440958 37.779364, -122.441149 37.780293, -122.44134 37.781235, -122.441512 37.782096, -122.441672 37.782234, -122.44182 37.782307, -122.442692 37.782643, -122.442766 37.782822, -122.442793 37.782885, -122.44281 37.782971)))"
6,75,15801,60750158011,G5030,98388,0,37.7825029,-122.4359176,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.437863 37.783791, -122.437752 37.783802, -122.434659 37.784194, -122.434562 37.784152, -122.43435 37.783083, -122.434162 37.782151, -122.433973 37.781219, -122.435616 37.781009, -122.436189 37.780937, -122.43726 37.780802, -122.437446 37.781727, -122.437633 37.782663, -122.437831 37.783632, -122.437863 37.783791)))"
6,75,13101,60750131012,G5030,42629,0,37.7917813,-122.4246195,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.426157 37.792634, -122.424518 37.792841, -122.424341 37.791965, -122.422801 37.792161, -122.422778 37.792068, -122.422636 37.791369, -122.422611 37.791277, -122.424161 37.791081, -122.425802 37.790874, -122.42598 37.791757, -122.426157 37.792634)))"
6,75,12902,60750129023,G5030,185239,0,37.8008396,-122.4341795,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.436799 37.802715, -122.43662 37.802673, -122.434973 37.802848, -122.433328 37.803057, -122.431679 37.803267, -122.431498 37.802376, -122.431311 37.801445, -122.432958 37.801236, -122.432864 37.800773, -122.432775 37.800332, -122.432748 37.8002, -122.432675 37.799837, -122.432581 37.79937, -122.432487 37.798905, -122.432393 37.798439, -122.434036 37.79823, -122.435678 37.798021, -122.435772 37.798487, -122.435866 37.798952, -122.435961 37.799419, -122.436035 37.799788, -122.436058 37.799904, -122.436225 37.800722, -122.436274 37.800814, -122.436381 37.800895, -122.436764 37.802525, -122.436799 37.802715)))"
